CountyCode,Mean_Target
0.0,99.23090586145648
1.0,98.16666666666667
3.0,82.60810810810811
5.0,85.93671171171171
7.0,93.75675675675676
9.0,125.76382113821138
11.0,82.4090909090909
13.0,138.44827586206895
15.0,67.53333333333333
17.0,121.12280701754386
19.0,22.5
21.0,102.06451612903226
23.0,106.07407407407408
25.0,46.17857142857143
27.0,39.44444444444444
29.0,57.31818181818182
31.0,146.48739495798318
33.0,33.0
35.0,70.96875
37.0,58.63636363636363
39.0,140.0
41.0,108.42857142857143
43.0,132.0
45.0,74.0
47.0,39.0
49.0,101.66666666666667
53.0,107.625
55.0,17.333333333333332
57.0,21.5
59.0,259.0
61.0,44.61538461538461
63.0,135.0
65.0,123.75
67.0,30.0
69.0,66.25
71.0,168.4126984126984
73.0,71.33333333333333
75.0,44.0
77.0,133.8
79.0,65.71428571428571
81.0,214.25233644859813
83.0,19.0
85.0,54.666666666666664
87.0,37.333333333333336
89.0,32.666666666666664
91.0,34.1
93.0,75.44444444444444
95.0,46.333333333333336
97.0,98.61363636363636
99.0,138.63636363636363
101.0,125.6
103.0,59.0
105.0,100.33333333333333
107.0,10.0
109.0,110.5
111.0,33.666666666666664
113.0,78.8
115.0,33.5
117.0,91.0
119.0,91.33333333333333
121.0,102.8
123.0,64.375
125.0,123.8
127.0,10.0
129.0,33.0
131.0,38.25
133.0,35.09090909090909
135.0,20.0
137.0,138.0
139.0,63.5
141.0,17.666666666666668
143.0,43.0
145.0,77.4
147.0,53.25
149.0,16.0
151.0,76.25
153.0,57.5
155.0,78.33333333333333
157.0,15.0
161.0,167.66666666666666
163.0,160.96774193548387
165.0,20.0
167.0,24.0
169.0,32.5
173.0,15.0
181.0,24.5
187.0,44.0
193.0,256.0
215.0,137.80645161290323
510.0,103.9090909090909
550.0,490.0
570.0,43.0
590.0,82.0
630.0,32.0
660.0,44.0
670.0,31.0
680.0,184.0
683.0,86.0
690.0,54.0
730.0,225.0
735.0,5.0
740.0,14.0
750.0,14.0
770.0,120.0
775.0,23.0
790.0,21.0
800.0,146.0
820.0,40.0
830.0,29.0
840.0,54.0
