State,Mean_Target
AK,18.5
AL,11.743589743589743
AR,12.909090909090908
AZ,14.0
CA,15.350194552529183
CO,12.95
CT,4.911764705882353
DE,36.0
FL,15.320987654320987
GA,13.029411764705882
IA,14.526315789473685
ID,13.0
IL,29.491831111191242
IN,10.772727272727273
KY,11.36
LA,14.947368421052632
MA,7.066666666666666
MD,13.636363636363637
ME,7.705882352941177
MI,29.491831111191246
MN,5.166666666666667
MO,7.7
MS,14.157894736842104
NC,12.390243902439025
ND,11.25
NH,15.0
NJ,5.595121951219512
NM,17.333333333333332
NV,22.5
NY,10.80952380952381
OH,9.019607843137255
OK,13.235294117647058
OR,12.827586206896552
PA,5.979591836734694
RI,5.84
SC,13.153846153846153
SD,12.0
TN,9.129032258064516
TX,11.875557693990029
UT,9.91304347826087
VA,17.620689655172413
VT,10.25
WA,22.166666666666668
WI,6.568965517241379
WV,13.214285714285714
WY,8.428571428571429
