State,Mean_Target
AK,3.0
AL,1.5454545454545454
AR,2.0454545454545454
AZ,1.7647058823529411
CA,2.0688073394495414
CO,1.1904761904761905
CT,0.59375
DE,0.0
FL,1.9102564102564104
GA,2.1379310344827585
IA,0.8333333333333334
ID,1.1428571428571428
IL,0.7878787878787878
IN,1.1428571428571428
KY,1.28
LA,1.2307692307692308
MA,0.3983050847457627
MD,1.3636363636363635
ME,0.23529411764705882
MI,0.8484848484848485
MN,0.5230769230769231
MO,1.0975609756097562
MS,3.0625
NC,2.5
ND,0.0
NH,0.6190476190476191
NJ,0.58
NM,2.0
NV,2.0
NY,1.0
OH,0.6990291262135923
OK,1.0606060606060606
OR,1.0333333333333334
PA,0.6979166666666666
RI,0.52
SC,1.4090909090909092
SD,0.4444444444444444
TN,1.096774193548387
TX,1.5434782608695652
UT,0.6521739130434783
VA,0.8095238095238095
VT,0.5
WA,1.3513513513513513
WI,0.45614035087719296
WV,1.1538461538461537
WY,0.42857142857142855
