CountyCode,Mean_Target
0.0,9.306709635367625
1.0,5.294117647058823
3.0,4.0675675675675675
5.0,6.111111111111111
7.0,7.276265411597196
9.0,4.181513598738667
11.0,8.454545454545455
13.0,8.096727060198715
15.0,5.266666666666667
17.0,4.3972131147540985
19.0,2.0
21.0,6.730373388634249
23.0,6.260169491525423
25.0,5.100181598062954
27.0,2.183921209344938
29.0,7.55
31.0,7.614814814814815
33.0,2.0
35.0,5.2727272727272725
37.0,7.818181818181818
39.0,6.588235294117647
41.0,12.16
43.0,6.2
45.0,3.0
47.0,3.0
49.0,7.5
53.0,7.522916666666666
55.0,3.6666666666666665
57.0,1.0
59.0,33.0
61.0,4.0
63.0,5.25
65.0,8.5
67.0,6.0
69.0,8.666666666666666
71.0,12.63888888888889
73.0,11.333333333333334
75.0,7.0
77.0,9.333333333333334
79.0,6.861985472154964
81.0,13.09884884884885
83.0,2.0
85.0,2.5
87.0,7.0
89.0,8.994444444444444
91.0,2.2222222222222223
93.0,3.142857142857143
95.0,8.8
97.0,5.666666666666667
99.0,9.818181818181818
101.0,14.0
103.0,3.125
105.0,12.0
107.0,1.5
109.0,3.5
111.0,4.0
113.0,8.428571428571429
115.0,8.5
117.0,22.0
119.0,7.2
121.0,11.0
123.0,6.0
125.0,8.125
127.0,3.0
129.0,3.0
131.0,8.75
133.0,6.363636363636363
135.0,3.0
137.0,7.0
139.0,5.75
141.0,1.6666666666666667
143.0,7.0
145.0,6.4
147.0,9.6
149.0,2.0
151.0,10.0
153.0,7.6
155.0,15.99074074074074
157.0,0.5
161.0,21.333333333333332
163.0,8.851635514018692
165.0,2.0
167.0,0.0
169.0,5.5
173.0,16.416347606782235
215.0,6.882352941176471
510.0,14.25
570.0,1.0
590.0,10.5
630.0,6.0
660.0,9.0
670.0,33.0
680.0,4.0
683.0,6.0
690.0,9.0
730.0,8.0
735.0,2.0
740.0,1.0
750.0,7.0
770.0,2.0
775.0,4.5
790.0,2.0
800.0,26.0
820.0,5.0
830.0,1.0
840.0,7.0
