State,Mean_Target
AK,80.5
AL,84.7741935483871
AR,98.47826086956522
AZ,125.2
CA,154.15315315315314
CO,105.2
CT,37.07075873827792
DE,145.0
FL,146.1492537313433
GA,119.15625
IA,71.29411764705883
ID,76.28571428571429
IL,51.666666666666664
IN,57.425
KY,110.5
LA,135.92307692307693
MA,75.97252624525352
MD,151.1
ME,29.705882352941178
MI,90.3157894736842
MN,32.10769230769231
MO,52.07692307692308
MS,91.90858725761773
NC,134.22222222222223
ND,17.375
NH,17.857142857142858
NJ,45.504950495049506
NM,158.88888888888889
NV,101.0
NY,72.47368421052632
OH,41.04214733399945
OK,77.66666666666667
OR,56.8
PA,40.51546391752577
RI,71.12
SC,128.47619047619048
SD,70.77777777777777
TN,94.46666666666667
TX,112.37029739265913
UT,41.391304347826086
VA,126.10344827586206
VT,14.25
WA,74.33333333333333
WI,41.728813559322035
WV,83.21428571428571
WY,52.142857142857146
