CountyCode,Mean_Target
0.0,294.01858994405643
1.0,244.69444444444446
3.0,171.07692307692307
5.0,153.45714285714286
7.0,192.02631578947367
9.0,213.34146341463415
11.0,210.38095238095238
13.0,251.89655172413794
15.0,138.4
17.0,215.98360655737704
19.0,55.6
21.0,158.36363636363637
23.0,277.17857142857144
25.0,152.66666666666666
27.0,125.11111111111111
29.0,173.42857142857142
31.0,353.83898305084745
33.0,189.0
35.0,133.66666666666666
37.0,133.27272727272728
39.0,197.875
41.0,268.32142857142856
43.0,372.3333333333333
45.0,167.58333333333334
47.0,82.0
49.0,228.78571428571428
53.0,257.6875
55.0,92.33333333333333
57.0,292.3333333333333
59.0,571.5
61.0,154.66666666666666
63.0,311.3333333333333
65.0,318.25
67.0,118.0
69.0,166.5
71.0,428.39375
73.0,215.33333333333334
75.0,146.83333333333334
77.0,158.1
79.0,122.93333333333334
81.0,457.34615384615387
83.0,69.0
85.0,76.0
87.0,167.66666666666666
89.0,124.4
91.0,82.22222222222223
93.0,157.875
95.0,87.6
97.0,214.95348837209303
99.0,245.0
101.0,128.5
103.0,183.66666666666666
105.0,327.3333333333333
107.0,75.5
109.0,518.5
111.0,124.33333333333333
113.0,190.4
115.0,142.5
117.0,309.0
119.0,270.0
121.0,193.5
123.0,121.4
125.0,235.75
127.0,39.0
129.0,59.0
131.0,91.25
133.0,118.18181818181819
135.0,91.0
137.0,450.0
139.0,151.14285714285714
141.0,110.66666666666667
143.0,141.0
145.0,200.25
147.0,160.4
149.0,57.0
151.0,229.25
153.0,112.0
155.0,91.5
157.0,53.5
161.0,588.0
163.0,219.66666666666666
165.0,93.5
167.0,133.0
169.0,137.0
173.0,48.5
181.0,53.0
187.0,205.0
193.0,141.5
215.0,356.61290322580646
510.0,320.38461538461536
570.0,88.0
590.0,388.0
630.0,102.0
650.0,962.0
660.0,166.0
670.0,230.0
680.0,560.0
683.0,139.0
690.0,125.0
730.0,810.0
735.0,19.0
750.0,59.0
760.0,42.0
770.0,118.0
775.0,85.0
790.0,110.0
800.0,646.0
810.0,66.0
820.0,136.0
830.0,48.0
840.0,216.0
