State,Mean_Target
AK,4.5
AL,23.767628205128204
AR,7.565217391304348
AZ,11.428571428571429
CA,13.655963302752294
CO,14.7
CT,4.9411764705882355
DE,11.0
FL,7.988235294117647
GA,6.882352941176471
ID,12.857142857142858
IL,7.333333333333333
IN,5.560975609756097
KS,32.83269521356447
KY,2.7083333333333335
LA,7.473684210526316
MA,3.2502118644067797
MD,11.857142857142858
ME,6.25
MI,8.972523364485982
MN,6.074519230769231
MO,6.425
MS,6.611111111111111
NC,9.85
ND,5.375
NH,8.9
NJ,5.434146341463415
NM,8.0
NV,19.5
NY,6.739130434782608
OH,6.339166666666666
OK,9.176470588235293
OR,12.148148148148149
PA,4.804479166666667
RI,6.083333333333333
SC,3.357142857142857
SD,6.375
TN,7.682765151515151
TX,7.9352517985611515
UT,4.869565217391305
VA,8.791666666666666
VT,32.83269521356447
WA,14.401465201465202
WI,8.897720631209818
WV,9.384615384615385
WY,6.571428571428571
